"","parent","node","branch.length","label","height","height_0.95_HPD","height_median","height_range","indicator","indicator_0.95_HPD","indicator_median","indicator_range","length","length_0.95_HPD","length_median","length_range","posterior","rate","rate_0.95_HPD","rate_median","rate_range","relRates","relRates_0.95_HPD","relRates_median","relRates_range","isTip","x","y","branch","angle","posteriorAsterisk"
"11","16","11","0.106955630948725","seq00011","5","c(9.7, 9.7)","5","c(5, 5)","0.1","c(0, 1)","0","c(0, 1)","0.306124891319454","c(0.0451166391329814, 0.717069654020085)","0.233142411262549","c(0.0451166391329814, 0.717069654020085)","NA","0.075797795324395","c(0.0041958090648066, 0.267696122045036)","0.047629210096188","c(0.0041958090648066, 0.267696122045036)","1.16296894933845","c(0.946444169717091, 1.48775611877048)","0.946444169717091","c(0.946444169717091, 1.48775611877048)","TRUE","9.7","4","9.64652218452564","130.909090909091",NA
"12","22","12","9.30081216996977",NA,"5.59104495917647","c(8.72519709295745, 9.44934708009585)","5.63054747761323","c(5.25065291990415, 5.97480290704255)","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE","9.30081216996977","2.93359375","9.30081216996977","96.0085227272727",NA
"13","12","13","0.0567058300646792",NA,"5.23715075267229","c(9.35751800003444, 9.60261475566876)","5.27158501372007","c(5.09738524433124, 5.34248199996556)","0","NA","NA","NA","0.0825265085426743","c(0.0376060199904371, 0.153267675572907)","0.0567058300646792","c(0.0376060199904371, 0.153267675572907)","0.3","0.0620650449989227","c(0.0499121462635557, 0.0827629342316728)","0.0535200545015396","c(0.0499121462635557, 0.0827629342316728)","4.62371081408577","NA","NA","NA","FALSE","9.35751800003444","1.5","9.3291650850021","49.0909090909091",""
"14","12","14","0.134259333665718",NA,"5.21537479432601","c(9.35889888558116, 9.57708867505447)","5.18778733253358","c(5.12291132494553, 5.34110111441884)","0.8","c(0, 1)","1","c(0, 1)","0.117506462424228","c(0.0575241638852173, 0.149045330342928)","0.127741594958619","c(0.0575241638852173, 0.149045330342928)","0.5","0.00775896146484227","c(0.00372864134182919, 0.0117989180547961)","0.00733269513974024","c(0.00372864134182919, 0.0117989180547961)","1.02188799906815","c(0.0747040875008762, 4.62371081408577)","0.137008364584705","c(0.0747040875008762, 4.62371081408577)","FALSE","9.43507150363548","4.3671875","9.36794183680262","142.926136363636",""
"15","14","15","0.145107298955941",NA,"5.12943830312696","c(9.53424097930004, 9.59726530872764)","5.11982119740857","c(5.10273469127236, 5.16575902069996)","0","NA","NA","NA","0.0748488742949253","c(0.0220283118336129, 0.145107298955941)","0.0574110120952218","c(0.0220283118336129, 0.145107298955941)","0.3","0.00762008484545518","c(0.00372864134182919, 0.0117989180547961)","0.00733269513974024","c(0.00372864134182919, 0.0117989180547961)","0.535258035458511","c(0.258963726587051, 1.08784665320143)","0.258963726587051","c(0.258963726587051, 1.08784665320143)","FALSE","9.58017880259142","5.734375","9.50762515311345","187.670454545455",""
"16","15","16","0.0128655664598494",NA,"5.08303222681309","c(9.59304436905127, 9.65488336086702)","5.09702441035756","c(5.04511663913298, 5.10695563094873)","1","NA","NA","NA","0.0160999277011401","c(0.0057102809148013, 0.0297239357287697)","0.0128655664598494","c(0.0057102809148013, 0.0297239357287697)","0.3","0.176919229096823","c(0.0899513296707001, 0.267696122045036)","0.173110235574734","c(0.0899513296707001, 0.267696122045036)","2.75705965155822","c(1.8021931815098, 3.23449288658243)","3.23449288658243","c(1.8021931815098, 3.23449288658243)","FALSE","9.59304436905127","4.5","9.58661158582135","147.272727272727",""
"17","15","17","0.141694995861055",NA,"3.44154980434563","c(9.72187379845248, 14.0029949850433)","3.95652261424724","c(0.697005014956741, 4.97812620154752)","0","NA","NA","NA","1.70106012246433","c(0.141694995861055, 4.33228682861752)","1.24762293577969","c(0.141694995861055, 4.33228682861752)","1","0.0195996699017321","c(0.00372864134182919, 0.0917591748562031)","0.0103836681387545","c(0.00372864134182919, 0.0917591748562031)","0.825771513909008","c(0.121563612022997, 1.8021931815098)","0.851751921438691","c(0.121563612022997, 1.8021931815098)","FALSE","9.72187379845248","6.96875","9.65102630052195","228.068181818182","*"
"18","17","18","2.99479599643276",NA,"2.83311470345868","c(11.2014834807408, 12.7166697948852)","2.92530604473038","c(1.98333020511476, 3.49851651925921)","0","NA","NA","NA","1.42318215949369","c(0.767430409692941, 2.99479599643276)","0.965251115924531","c(0.767430409692941, 2.99479599643276)","0.4","0.00854986720091964","c(0.00372864134182919, 0.0117989180547961)","0.00933595470352663","c(0.00372864134182919, 0.0117989180547961)","0.681303313360525","c(0.121563612022997, 1.20803887126564)","0.69780538507673","c(0.121563612022997, 1.20803887126564)","FALSE","12.7166697948852","7.9375","11.2192717966689","259.772727272727",""
"19","18","19","0.888275041876188",NA,"1.05650725188187","c(13.4052503206218, 13.9186787032332)","1.08248272491297","c(0.781321296766769, 1.29474967937825)","0","NA","NA","NA","2.04318120267168","c(0.888275041876188, 3.37086952016723)","2.10143497712828","c(0.888275041876188, 3.37086952016723)","0.8","0.0083998200217895","c(0.00372864134182919, 0.0147798217751022)","0.00838040857496806","c(0.00372864134182919, 0.0147798217751022)","0.908874891066521","c(0.552095730484138, 1.52448906205408)","0.782866906485795","c(0.552095730484138, 1.52448906205408)","FALSE","13.6049448367614","8.875","13.1608073158233","290.454545454545","*"
"20","19","20","0.314199641762716",NA,"0.603034455636797","c(13.9191444785241, 14.1969538726583)","0.56411808686482","c(0.50304612734169, 0.78085552147586)","0","NA","NA","NA","0.465766972489915","c(0.312444455960966, 0.777260749454388)","0.386681342272152","c(0.312444455960966, 0.777260749454388)","0.4","0.0141755395291193","c(0.00372864134182919, 0.0370389639868021)","0.00796727639392291","c(0.00372864134182919, 0.0370389639868021)","1","NA","NA","NA","FALSE","13.9191444785241","9.75","13.7620446576428","319.090909090909",""
"21","20","21","0.673387831885687",NA,"0.0849514295076733","c(14.5235545579596, 14.6837078628056)","0.0746921160252958","c(0.0162921371943963, 0.176445442040448)","0.8","c(0, 1)","1","c(0, 1)","0.656975970567762","c(0.341043487883409, 1.09524220249104)","0.608851055826277","c(0.341043487883409, 1.09524220249104)","1","0.0657717387531233","c(0.0349599416654498, 0.110815635020043)","0.0575169689005751","c(0.0349599416654498, 0.110815635020043)","1","NA","NA","NA","FALSE","14.5925323104098","10.5","14.255838394467","343.636363636364","*"
"22","12","22","0",NA,"5.59104495917647","c(7.30369149599749, 8.0753445744061)","5.63054747761323","c(5.25065291990415, 5.97480290704255)","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE","0","2.93359375","9.30081216996977","96.0085227272727",NA
