# BEAST v1.8.4
# Generated Mon Nov 20 12:52:16 UTC 2023 [seed=1700484736418]
# -working -overwrite -beagle_off temp.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	coalescent
14000	-47830.74859760983	-200.83917877697894	-47629.90941883285	0.10424497882198773	2.5082349640661987	3.227749712196257	0.2671276307021738	0.23776531528528524	0.24832258574056915	0.2467844682719718	1.0	-47629.90941883285	-197.59628892655888
15000	-47811.19018187981	-200.04617736676477	-47611.144004513044	0.10159337469145394	2.712041600558304	3.227749712196257	0.2671276307021738	0.22995028896160882	0.25613761206424557	0.2467844682719718	1.0	-47611.144004513044	-196.72516511115955
16000	-47683.845628423565	-199.7898453130885	-47484.055783110474	0.1026291623355732	2.6609124993674302	3.227749712196257	0.2671276307021738	0.22995028896160882	0.25613761206424557	0.2467844682719718	1.0	-47484.055783110474	-196.48786565804056
17000	-47602.00485551355	-198.89393674652194	-47403.11091876703	0.106413101205943	2.896859977872798	3.67689870074479	0.2671276307021738	0.2249309426105536	0.25613761206424557	0.25180381462302703	1.0	-47403.11091876703	-195.35695888137744
18000	-47527.334383598245	-200.00748953250806	-47327.326894065736	0.10822680408744084	3.1097890494136577	3.67689870074479	0.2680858307262902	0.21563442300572536	0.2644759316449574	0.25180381462302703	1.0	-47327.326894065736	-196.3995841573703
19000	-47483.902895152125	-200.50591964386223	-47283.396975508265	0.10904580230412328	3.029643765404704	3.67689870074479	0.2755489262852265	0.21563442300572536	0.2644759316449574	0.24434071906409077	1.0	-47283.396975508265	-196.92412411940842
20000	-47472.63184373906	-197.2358299450381	-47275.39601379402	0.1040219401658272	2.8258224410454367	3.67689870074479	0.2755489262852265	0.21563442300572536	0.2644759316449574	0.24434071906409077	1.0	-47275.39601379402	-193.72368001221838
21000	-47469.98184099237	-197.7033529288327	-47272.27848806354	0.10688730992438956	2.679998452266237	3.67689870074479	0.2755489262852265	0.21563442300572536	0.25537010067564403	0.25344655003340416	1.0	-47272.27848806354	-194.24418623080498
22000	-47407.106590106785	-197.90026083305267	-47209.20632927373	0.10447874545058643	2.646214991557293	3.67689870074479	0.2755489262852265	0.21563442300572536	0.25537010067564403	0.25344655003340416	1.0	-47209.20632927373	-194.45378003810956
23000	-47346.9101466155	-199.19663684596446	-47147.713509769535	0.10102399866401356	2.713699184573331	3.67689870074479	0.28331956416933335	0.2026581669256644	0.26057571887159814	0.25344655003340416	1.0	-47147.713509769535	-195.72497364808046
